Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
3/2/16,109.68,110.55,108.77,109.95,25670170,0,1,109.68,110.55,108.77,109.95,25670170
3/1/16,107.83,109.82,107.6,109.82,26817309,0,1,107.83,109.82,107.6,109.82,26817309
2/29/16,107.6,108.9101,106.75,106.92,32778992,0,1,107.6,108.9101,106.75,106.92,32778992
2/26/16,108.7,109.45,107.16,107.92,26686193,0,1,108.7,109.45,107.16,107.92,26686193
2/25/16,107.11,108.07,105.61,108.07,29906278,0,1,107.11,108.07,105.61,108.07,29906278
2/24/16,104.21,106.95,102.74,106.88,34412437,0,1,104.21,106.95,102.74,106.88,34412437
2/23/16,106.85,107.47,105.12,105.46,25319315,0,1,106.85,107.47,105.12,105.46,25319315
2/22/16,105.49,108.25,105.34,107.16,35709714,0,1,105.49,108.25,105.34,107.16,35709714
2/19/16,102.55,105.02,102.06,104.57,32404516,0,1,102.55,105.02,102.06,104.57,32404516
2/18/16,105.8,106,103.03,103.47,29593508,0,1,105.8,106,103.03,103.47,29593508
2/17/16,101.94,105.72,100.4,105.2,44073369,0,1,101.94,105.72,100.4,105.2,44073369
2/16/16,103.8,103.93,100.24,101.61,45687224,0,1,103.8,103.93,100.24,101.61,45687224
2/12/16,103.74,104.24,101.09,102.01,36176760,0,1,103.74,104.24,101.09,102.01,36176760
2/11/16,99.6,105.11,98.88,101.91,43670634,0,1,99.6,105.11,98.88,101.91,43670634
2/10/16,101.55,103.25,100.24,101,45179370,0,1,101.55,103.25,100.24,101,45179370
2/9/16,97.14,102.4,96.82,99.54,62709018,0,1,97.14,102.4,96.82,99.54,62709018
2/8/16,100.41,102.68,97.46,99.75,71229746,0,1,100.41,102.68,97.46,99.75,71229746
2/5/16,109.51,109.58,103.18,104.07,76894741,0,1,109.51,109.58,103.18,104.07,76894741
2/4/16,111.8,111.94,109.25,110.49,38890199,0,1,111.8,111.94,109.25,110.49,38890199
2/3/16,115.27,115.3407,109.75,112.69,56919324,0,1,115.27,115.3407,109.75,112.69,56919324
2/2/16,114.8,117.59,113.2,114.61,59778571,0,1,114.8,117.59,113.2,114.61,59778571
2/1/16,112.27,115.72,112.01,115.09,46132726,0,1,112.27,115.72,112.01,115.09,46132726
1/29/16,108.99,112.84,108.84,112.21,62739548,0,1,108.99,112.84,108.84,112.21,62739548
1/28/16,107.2,110.34,104.81,109.11,107475327,0,1,107.2,110.34,104.81,109.11,107475327
1/27/16,97.79,97.85,94.23,94.45,58699359,0,1,97.79,97.85,94.23,94.45,58699359
1/26/16,97.76,97.88,95.66,97.34,26877080,0,1,97.76,97.88,95.66,97.34,26877080
1/25/16,98.72,99.48,96.93,97.01,32482015,0,1,98.72,99.48,96.93,97.01,32482015
1/22/16,96.41,98.07,95.49,97.94,30495387,0,1,96.41,98.07,95.49,97.94,30495387
1/21/16,94.91,95.99,92.62,94.16,30518939,0,1,94.91,95.99,92.62,94.16,30518939
1/20/16,92.83,95,89.37,94.35,59051429,0,1,92.83,95,89.37,94.35,59051429
1/19/16,96.53,97.42,93.92,95.26,30998256,0,1,96.53,97.42,93.92,95.26,30998256
1/15/16,93.98,96.38,93.54,94.97,46132781,0,1,93.98,96.38,93.54,94.97,46132781
1/14/16,95.85,98.87,92.45,98.37,48658623,0,1,95.85,98.87,92.45,98.37,48658623
1/13/16,100.58,100.58,95.21,95.44,33410553,0,1,100.58,100.58,95.21,95.44,33410553
1/12/16,99,99.96,97.55,99.37,28395390,0,1,99,99.96,97.55,99.37,28395390
1/11/16,97.91,98.6,95.39,97.51,29932385,0,1,97.91,98.6,95.39,97.51,29932385
1/8/16,99.88,100.5,97.0311,97.33,35402298,0,1,99.88,100.5,97.0311,97.33,35402298
1/7/16,100.5,101.43,97.3,97.92,45172906,0,1,100.5,101.43,97.3,97.92,45172906
1/6/16,101.13,103.77,100.9,102.97,25096183,0,1,101.13,103.77,100.9,102.97,25096183
1/5/16,102.89,103.7099,101.665,102.73,23258238,0,1,102.89,103.7099,101.665,102.73,23258238
1/4/16,101.95,102.24,99.75,102.22,37912403,0,1,101.95,102.24,99.75,102.22,37912403
12/31/15,106,106.17,104.62,104.66,18391064,0,1,106,106.17,104.62,104.66,18391064
12/30/15,107,107.25,106.06,106.22,13115007,0,1,107,107.25,106.06,106.22,13115007
12/29/15,106.42,107.74,106.25,107.26,17179901,0,1,106.42,107.74,106.25,107.26,17179901
12/28/15,105.02,105.98,104.53,105.93,13069733,0,1,105.02,105.98,104.53,105.93,13069733
12/24/15,104.74,105.32,104.5,105.02,6512134,0,1,104.74,105.32,104.5,105.02,6512134
12/23/15,105.89,106.11,103.86,104.63,19599673,0,1,105.89,106.11,103.86,104.63,19599673
12/22/15,105.22,105.6601,104.81,105.51,14597122,0,1,105.22,105.6601,104.81,105.51,14597122
12/21/15,104.91,105.15,103.6,104.77,16138786,0,1,104.91,105.15,103.6,104.77,16138786
12/18/15,106.08,106.59,103.97,104.04,35994199,0,1,106.08,106.59,103.97,104.04,35994199
