Date,Open,High,Low,Close,Volume,Adj_Close
1/14/16,97.96,100.48,95.74,99.52,63170127,98.98714992
1/13/16,100.32,101.19,97.3,97.39,62439631,96.86855437
1/12/16,100.55,100.69,98.8399,99.96,49154227,99.42479407
1/11/16,98.97,99.06,97.34,98.53,49739377,98.00245058
1/8/16,98.55,99.11,96.76,96.96,70798016,96.44085667
1/7/16,98.68,100.13,96.43,96.45,81094428,95.93358731
1/6/16,100.56,102.37,99.87,100.7,68457388,100.160832
1/5/16,105.75,105.85,102.41,102.71,55790992,102.16007
1/4/16,102.61,105.368,102,105.35,67649387,104.7859349
12/31/15,107.01,107.03,104.82,105.26,40912316,104.6964168
12/30/15,108.58,108.7,107.18,107.32,25213777,106.7453871
12/29/15,106.96,109.43,106.86,108.74,30931243,108.1577842
12/28/15,107.59,107.69,106.1807,106.82,26704210,106.2480643
12/24/15,109,109,107.95,108.03,13596680,107.4515857
12/23/15,107.27,108.85,107.2,108.61,32657354,108.0284802
12/22/15,107.4,107.72,106.451,107.23,32789367,106.655869
12/21/15,107.28,107.37,105.57,107.33,47590610,106.7553336
12/18/15,108.91,109.52,105.81,106.03,96453327,105.4622941
12/17/15,112.02,112.25,108.98,108.98,44772827,108.3964992
12/16/15,111.07,111.99,108.8,111.34,56238467,110.7438633
12/15/15,111.94,112.8,110.35,110.49,53323105,109.8984143
12/14/15,112.18,112.68,109.79,112.48,65003609,111.8777595
12/11/15,115.19,115.39,112.851,113.18,46886161,112.5740115
12/10/15,116.04,116.94,115.51,116.17,29212727,115.5480025
12/9/15,117.64,117.69,115.08,115.62,46361357,115.0009473
12/8/15,117.52,118.6,116.86,118.23,34309450,117.5969728
12/7/15,118.98,119.86,117.81,118.28,32084249,117.6467051
12/4/15,115.29,119.25,115.11,119.03,57776977,118.3926895
12/3/15,116.55,116.79,114.22,115.2,41569509,114.583196
12/2/15,117.05,118.11,116.08,116.28,33386563,115.6574135
12/1/15,118.75,118.81,116.86,117.34,34852374,116.7117381
11/30/15,117.99,119.41,117.75,118.3,39180322,117.666598
11/27/15,118.29,118.41,117.6,117.81,13046445,117.1792216
11/25/15,119.21,119.23,117.92,118.03,21388308,117.3980437
11/24/15,117.33,119.35,117.12,118.88,42803172,118.2434926
11/23/15,119.27,119.73,117.34,117.75,32482528,117.1195428
11/20/15,119.2,119.92,118.85,119.3,34287096,118.6612438
11/19/15,117.64,119.75,116.76,118.78,43295820,118.144028
11/18/15,115.76,117.49,115.5,117.29,46674697,116.6620058
11/17/15,114.92,115.05,113.32,113.69,27583101,113.0812809
11/16/15,111.38,114.24,111,114.175,38106701,113.5636841
11/13/15,115.2,115.57,112.27,112.34,45812403,111.7385091
11/12/15,116.26,116.82,115.65,115.72,32525579,115.1004119
11/11/15,116.37,117.42,115.21,116.11,45217971,115.4883237
11/10/15,116.9,118.07,116.061,116.77,59127931,116.14479
11/9/15,120.96,121.81,120.05,120.57,33871405,119.924444
11/6/15,121.11,121.81,120.62,121.06,33042283,120.4118204
11/5/15,121.85,122.69,120.18,120.92,39552680,120.27257
11/4/15,123.13,123.82,121.62,122,44886050,120.8271866
11/3/15,120.79,123.49,120.7,122.57,45518976,121.3917071
11/2/15,119.87,121.36,119.61,121.18,32203267,120.0150695
10/30/15,120.99,121.22,119.45,119.5,49365254,118.3512197
10/29/15,118.7,120.69,118.27,120.53,51227334,119.3713181
10/28/15,116.93,119.3,116.06,119.27,85551352,118.1234307
10/27/15,115.4,116.54,113.99,114.55,69884400,113.4488051
10/26/15,118.08,118.13,114.92,115.28,66333781,114.1717875
10/23/15,116.7,119.228,116.33,119.08,59366914,117.9352572
10/22/15,114.33,115.5,114.1,115.5,41654089,114.3896726
10/21/15,114,115.58,113.7,113.76,42326974,112.6663996
10/20/15,111.34,114.17,110.82,113.77,48967763,112.6763034
10/19/15,110.8,111.75,110.11,111.73,29759153,110.6559144
10/16/15,111.78,112,110.53,111.04,39232609,109.9725476
10/15/15,110.93,112.1,110.49,111.86,37673452,110.7846647
10/14/15,111.29,111.52,109.56,110.21,44462449,109.1505265
10/13/15,110.82,112.45,110.68,111.79,33049256,110.7153376
10/12/15,112.73,112.75,111.44,111.6,30467204,110.5271641
10/9/15,110,112.28,109.49,112.12,52766140,111.0421653
10/8/15,110.19,110.19,108.21,109.5,61979577,108.4473519
10/7/15,111.74,111.77,109.41,110.78,46765550,109.715047
10/6/15,110.63,111.74,109.765,111.31,48856977,110.239952
10/5/15,109.88,111.3698,109.07,110.78,52064743,109.715047
10/2/15,108.01,111.0136,107.55,110.38,58019758,109.3188923
10/1/15,109.07,109.62,107.31,109.58,63929100,108.5265829
9/30/15,110.17,111.54,108.73,109.95,65041596,108.893026
9/29/15,112.83,113.51,107.86,109.06,73365384,108.0115817
9/28/15,113.85,114.57,112.44,112.44,50782189,111.359089
9/25/15,116.44,116.69,114.02,114.71,56151926,113.607267
9/24/15,113.25,115.5,112.37,115,50219475,113.8944792
9/23/15,113.63,114.72,113.3,114.32,35756716,113.2210162
9/22/15,113.38,114.18,112.5201,113.4,50346159,112.3098603
9/21/15,113.67,115.37,113.66,115.21,50221965,114.1024604
9/18/15,112.21,114.3,111.87,113.45,74285291,112.3593797
9/17/15,115.66,116.49,113.715,113.92,64112641,112.8248615
9/16/15,116.25,116.54,115.44,116.41,37173489,115.2909245
9/15/15,115.93,116.53,114.42,116.28,43341155,115.1621743
9/14/15,116.58,116.89,114.86,115.31,58363431,114.2014991
9/11/15,111.79,114.21,111.76,114.21,49915473,113.1120736
9/10/15,110.27,113.2825,109.9,112.57,62892831,111.4878393
9/9/15,113.76,114.02,109.77,110.15,85010804,109.0911033
9/8/15,111.65,112.56,110.32,112.31,54843626,111.2303388
