0,4/29/16,116.82,117.84,115.84,117.58,37140594,0,1
1,4/28/16,119.575,120.79,116.23,116.73,87110080,0,1
0,4/27/16,107.94,108.94,106.31,108.89,52213107,0,1
1,4/26/16,110.49,110.5,108.15,108.76,22521534,0,1
0,4/25/16,109.87,110.67,109.07,110.1,21017895,0,1
1,4/22/16,111.21,111.75,109.01,110.56,38458201,0,1
0,4/21/16,112.55,114.04,112.31,113.44,20875230,0,1
1,4/20/16,112.43,113.27,111.56,112.42,21027901,0,1
0,4/19/16,111.1,112.45,109.16,112.29,30210455,0,1
0,4/18/16,109.74,110.81,109.2,110.45,21167199,0,1
1,4/15/16,110.79,110.97,109.2,109.64,20922803,0,1
0,4/14/16,110.62,112.04,110.26,110.84,28473322,0,1
1,4/13/16,112.23,112.65,106.52,110.51,88227393,0,1
0,4/12/16,109.34,111.1645,108.99,110.61,26248081,0,1
1,4/11/16,110.7,110.91,108.77,108.99,39762304,0,1
1,4/8/16,114.25,114.33,109.9,110.63,48497808,0,1
1,4/7/16,113.79,114.89,113.0663,113.64,20714537,0,1
0,4/6/16,112.47,113.81,112.42,113.71,20814640,0,1
0,4/5/16,112.11,113.32,111.9,112.22,22962365,0,1
1,4/4/16,114.07,114.55,111.61,112.55,48487913,0,1
0,4/1/16,113.75,116.17,113.35,116.06,24760504,0,1
1,3/31/16,114.7,115.01,113.7682,114.1,21207526,0,1
1,3/30/16,116.73,116.99,114.355,114.7,33235184,0,1
0,3/29/16,113.83,116.32,113.64,116.14,29825340,0,1
0,3/28/16,113.32,114.5889,112.95,113.69,21351751,0,1
0,3/24/16,112.13,113.09,111.68,113.05,17839119,0,1
0,3/23/16,112.01,113.19,112,112.54,18561974,0,1
0,3/22/16,111.36,112.88,111.17,112.25,19001076,0,1
0,3/21/16,111.66,112.37,111.03,111.85,18447974,0,1
1,3/18/16,111.56,112.42,110.27,111.45,36256877,0,1
1,3/17/16,112.15,112.69,110.73,111.02,24241247,0,1
0,3/16/16,110.49,112.5,110.1,112.18,24744778,0,1
0,3/15/16,109.11,110.83,108.84,110.67,17618460,0,1
0,3/14/16,109.28,110.33,108.77,109.89,17249365,0,1
0,3/11/16,108.48,109.42,107.92,109.41,20697553,0,1
1,3/10/16,107.91,108.66,105.7699,107.32,24854284,0,1
0,3/9/16,106.7,107.51,105.49,107.51,20493305,0,1
0,3/8/16,104.78,107.37,104.4,105.93,25204666,0,1
1,3/7/16,108.07,108.07,104.72,105.73,31534055,0,1
1,3/4/16,110.05,110.05,107.93,108.39,24938858,0,1
1,3/3/16,110.25,110.3,108.54,109.58,21353092,0,1
0,3/2/16,109.68,110.55,108.77,109.95,25670170,0,1
0,3/1/16,107.83,109.82,107.6,109.82,26817309,0,1
1,2/29/16,107.6,108.9101,106.75,106.92,32778992,0,1
1,2/26/16,108.7,109.45,107.16,107.92,26686193,0,1
0,2/25/16,107.11,108.07,105.61,108.07,29906278,0,1
0,2/24/16,104.21,106.95,102.74,106.88,34412437,0,1
1,2/23/16,106.85,107.47,105.12,105.46,25319315,0,1
0,2/22/16,105.49,108.25,105.34,107.16,35709714,0,1
0,2/19/16,102.55,105.02,102.06,104.57,32404516,0,1
1,2/18/16,105.8,106,103.03,103.47,29593508,0,1
0,2/17/16,101.94,105.72,100.4,105.2,44073369,0,1
1,2/16/16,103.8,103.93,100.24,101.61,45687224,0,1
1,2/12/16,103.74,104.24,101.09,102.01,36176760,0,1
0,2/11/16,99.6,105.11,98.88,101.91,43670634,0,1
1,2/10/16,101.55,103.25,100.24,101,45179370,0,1
0,2/9/16,97.14,102.4,96.82,99.54,62709018,0,1
1,2/8/16,100.41,102.68,97.46,99.75,71229746,0,1
1,2/5/16,109.51,109.58,103.18,104.07,76894741,0,1
1,2/4/16,111.8,111.94,109.25,110.49,38890199,0,1
1,2/3/16,115.27,115.3407,109.75,112.69,56919324,0,1
