Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
4/29/16,100.48,101.09,99.2,100.89,1613587,0,1,100.48,101.09,99.2,100.89,1613587
4/28/16,102.66,102.81,101.07,101.37,1329270,0,1,102.66,102.81,101.07,101.37,1329270
4/27/16,103.96,104.47,102.575,103.51,1027311,0,1,103.96,104.47,102.575,103.51,1027311
4/26/16,104.59,105,103.12,103.92,1234683,0,1,104.59,105,103.12,103.92,1234683
4/25/16,102.15,102.59,101.89,102.36,888904,0,1,102.15,102.59,101.89,102.36,888904
4/22/16,102.04,102.44,100.76,102.33,1614211,0,1,102.04,102.44,100.76,102.33,1614211
4/21/16,103.74,103.93,102.28,102.3,1219410,0,1,103.74,103.93,102.28,102.3,1219410
4/20/16,104.25,104.51,103.55,103.74,880896,0,1,104.25,104.51,103.55,103.74,880896
4/19/16,104.09,104.34,103.1,103.92,767409,0,1,104.09,104.34,103.1,103.92,767409
4/18/16,102.56,104,102.35,103.79,1158380,0,1,102.56,104,102.35,103.79,1158380
4/15/16,103.17,103.65,102.09,102.83,1627989,0,1,103.17,103.65,102.09,102.83,1627989
4/14/16,103.96,104.05,102.82,102.93,1270595,0,1,103.96,104.05,102.82,102.93,1270595
4/13/16,102.97,103.55,102.71,103.31,1358639,0,1,102.97,103.55,102.71,103.31,1358639
4/12/16,102.64,103.1,101.84,102.71,1452063,0,1,102.64,103.1,101.84,102.71,1452063
4/11/16,104.06,104.06,102.3,102.62,999663,0,1,104.06,104.06,102.3,102.62,999663
4/8/16,103.86,104.11,102.92,103.38,654144,0,1,103.86,104.11,102.92,103.38,654144
4/7/16,104.33,104.44,102.64,103.17,1278206,0.3,1,104.33,104.44,102.64,103.17,1278206
4/6/16,103.92,105.32,103.596,105.13,807801,0,1,103.6186953,105.0146361,103.2956347,104.825187,807801
4/5/16,104.43,104.855,103.78,103.9,956616,0,1,104.1272166,104.5509843,103.4791012,103.5987533,956616
4/4/16,104.91,105.28,104.63,104.96,894092,0,1,104.6058249,104.9747521,104.3266367,104.6556799,894092
4/1/16,103.77,104.78,103.52,104.69,845111,0,1,103.4691302,104.4762018,103.219855,104.3864627,845111
3/31/16,102.75,104.51,102.47,104.01,2232366,0,1,102.4520876,104.2069846,102.1728994,103.7084343,2232366
3/30/16,103,103.4,102.51,103.18,969650,0,1,102.7013627,103.100203,102.2127834,102.8808408,969650
3/29/16,101.59,102.93,101.19,102.57,938000,0,1,101.2954509,102.6315657,100.8966106,102.2726095,938000
3/28/16,101.87,102.31,101.54,102.05,998387,0,1,101.574639,102.0133633,101.2455958,101.7541171,998387
3/24/16,101.38,102.12,100.69,101.89,1331843,0,1,101.0860597,101.8239142,100.3980603,101.594581,1331843
3/23/16,101.67,102.05,101.06,101.7,1630599,0,1,101.3752189,101.7541171,100.7669875,101.4051319,1630599
3/22/16,101.67,102.52,101.29,102.15,1165412,0,1,101.3752189,102.2227544,100.9963207,101.8538272,1165412
3/21/16,101.46,102.01,100.93,102.01,968811,0,1,101.1658278,101.7142331,100.6373645,101.7142331,968811
3/18/16,101.34,102.29,100.03,102.01,3012362,0,1,101.0461757,101.9934213,99.73997391,101.7142331,3012362
3/17/16,100.11,101.22,99.6,100.83,1384688,0,1,99.81974195,100.9265236,99.31122064,100.5376544,1384688
3/16/16,99.4,100.54,98.74,100.29,1221913,0,1,99.11180052,100.2484952,98.45371412,99.99922006,1221913
3/15/16,99.14,99.69,98.71,99.33,1012639,0,1,98.85255436,99.4009597,98.4238011,99.04200348,1012639
3/14/16,99.61,100.17,99.21,99.43,1181398,0,1,99.32119165,99.87956799,98.92235141,99.14171354,1181398
3/11/16,98.78,100.28,98.05,99.96,1544213,0,1,98.49359814,99.98924906,97.7657147,99.67017686,1544213
3/10/16,99.55,100.27,96.85,98.02,1677955,0,1,99.26136561,99.97927805,96.56919397,97.73580168,1677955
3/9/16,99.39,100.01,98.905,99.47,1549033,0,1,99.10182952,99.72003189,98.61823572,99.18159756,1549033
3/8/16,98.64,100.25,98.4,99.27,1974980,0,1,98.35400406,99.95933604,98.11469991,98.98217744,1974980
3/7/16,98.15,99.75,97.585,99.38,1997289,0,1,97.86542476,99.46078573,97.30206292,99.09185851,1997289
3/4/16,98.11,99.26,97.05,99.18,1904458,0,1,97.82554074,98.97220644,96.76861409,98.89243839,1904458
3/3/16,98.06,98.48,96.39,97.71,1851632,0,1,97.77568571,98.19446796,96.11052769,97.42670049,1851632
3/2/16,98.53,99.64,98.06,98.63,1608182,0,1,98.24432299,99.35110467,97.77568571,98.34403305,1608182
3/1/16,97.67,98.86,96.58,98.86,2194823,0,1,97.38681647,98.57336619,96.2999768,98.57336619,2194823
2/29/16,95.37,97.32,94.96,96.64,2671346,0,1,95.09348507,97.03783126,94.68467382,96.35980284,2671346
2/26/16,100.91,101,94.1,95.75,3810098,0,1,100.6174224,100.7071615,93.82716729,95.4723833,3810098
2/25/16,99.1,100.16,97.94,100.07,2335531,0,1,98.81267034,99.86959698,97.65603363,99.77985793,2335531
2/24/16,96.35,98.98,95.41,98.83,2177169,0,1,96.07064366,98.69301827,95.13336909,98.54345317,2177169
2/23/16,97.54,98.12,96.24,97.36,1859282,0,1,97.25719339,97.83551174,95.9609626,97.07771528,1859282
2/22/16,98.18,98.71,97,98.25,1620663,0,1,97.89533778,98.4238011,96.71875906,97.96513482,1620663
2/19/16,96.52,97.61,95.31,97.19,1901266,0,1,96.24015077,97.32699043,95.03365903,96.90820818,1901266
2/18/16,97.79,98.66,96.095,96.47,1768517,0,1,97.50646854,98.37394607,95.81638301,96.19029574,1768517
2/17/16,95.82,98.68,95.41,98.36,1726093,0,1,95.54218034,98.39388808,95.13336909,98.07481589,1726093
2/16/16,93.7,95.81,93.68,95.36,2240208,0,1,93.42832705,95.53220934,93.40838504,95.08351406,2240208
2/12/16,92.97,94.7,91.5,94.56,2177735,0,1,92.70044361,94.42542766,91.23470571,94.28583357,2177735
2/11/16,88.17,92.07,88.17,91.41,1991723,0,1,87.91436068,91.80305306,87.91436068,91.14496666,1991723
2/10/16,91.28,92.41,89.95,90.26,1897677,0,1,91.01534358,92.14206727,89.68919977,89.99830096,1897677
2/9/16,90.08,92.14,89.49,90.13,1922845,0,1,89.81882285,91.8728501,89.23053349,89.86867788,1922845
2/8/16,90.91,91.23,88.88,90.92,2744527,0,1,90.64641635,90.96548855,88.62230212,90.65638736,2744527
2/5/16,96.09,96.25,91.24,91.79,2911061,0,1,95.81139751,95.9709336,90.97545955,91.52386489,2911061
2/4/16,95.78,96.93,94.85,96.75,1653009,0,1,95.50229632,96.64896202,94.57499275,96.46948391,1653009
2/3/16,95,96.41,94,95.89,1864201,0,1,94.72455784,96.1304697,93.72745723,95.61197738,1864201
2/2/16,95.31,95.66,93.97,94.15,2436046,0,1,95.03365903,95.38264424,93.69754422,93.87702233,2436046
2/1/16,95.28,96.97,94.36,96.37,1325679,0,1,95.00374601,96.68884604,94.08641345,96.09058568,1325679
1/29/16,92.72,95.63,92.09,95.51,2120539,0,1,92.45116845,95.35273123,91.82299507,95.23307915,2120539
1/28/16,91.73,92.22,90.7,92.025,1141647,0,1,91.46403885,91.95261815,90.43702522,91.75818353,1141647
1/27/16,92.41,93.26,90.45,90.77,944099,0,1,92.14206727,92.98960278,90.18775007,90.50682227,944099
1/26/16,91.94,92.71,91.03,92.64,1140504,0,1,91.67342998,92.44119745,90.76606843,92.37140041,1140504
1/25/16,93.47,93.66,91.59,91.73,1310175,0,1,93.19899391,93.38844303,91.32444477,91.46403885,1310175
1/22/16,93.07,94,92.2,93.61,1076526,0,1,92.80015367,93.72745723,91.93267614,93.338588,1076526
1/21/16,92.8,93.67,91.21,91.95,1461686,0,1,92.5309365,93.39841403,90.94554654,91.68340099,1461686
1/20/16,89.53,92.88,88.66,91.99,2904936,0,1,89.27041751,92.61070455,88.40293998,91.72328501,2904936
1/19/16,92.84,93.135,90.04,90.88,2468121,0,1,92.57082053,92.86496521,89.77893882,90.61650333,2468121
1/15/16,91.43,92.93,90.58,91.49,2774776,0,1,91.16490867,92.66055958,90.31737315,91.22473471,2774776
1/14/16,92.31,95.47,91.14,94.32,2545883,0,1,92.0423572,95.19319513,90.87574949,94.04652943,2545883
1/13/16,95.11,95.6,91.57,91.7,1907668,0,1,94.83423891,95.32281821,91.30450275,91.43412583,1907668
1/12/16,94.69,95.16,93.56,94.85,1300807,0,1,94.41545665,94.88409394,93.28873297,94.57499275,1300807
1/11/16,93.82,94.26,93.14,94,1889891,0,1,93.54797912,93.98670339,92.86995071,93.72745723,1889891
1/8/16,94.94,96,93.02,93.14,2004696,0,1,94.66473181,95.72165845,92.75029864,92.86995071,2004696
1/7/16,94.5,96.425,93.24,94.44,2477736,0.3,1,94.22600754,96.14542621,92.96966077,94.1661815,2477736
1/6/16,94.43,96.48,94.16,96.29,2433171,0,1,93.8580591,95.89564272,93.58969443,95.70679351,2433171
1/5/16,95.34,96.12,94.58,95.95,1859409,0,1,94.76254744,95.53782316,94.00715059,95.36885281,1859409
1/4/16,94.19,94.89,93.14,94.38,2808951,0,1,93.61951273,94.31527299,92.57587234,93.80836194,2808951
12/31/15,97.83,98.33,96.48,96.5,1189462,0,1,97.23746608,97.73443769,95.89564272,95.91552158,1189462
12/30/15,99.11,99.41,98.22,98.28,660939,0,1,98.50971341,98.80789638,97.62510394,97.68474053,660939
12/29/15,98.63,99.992,98.63,99.34,864335,0,1,98.03262066,99.38637134,98.03262066,98.73832035,864335
12/28/15,97.1,98.25,96.92,98.22,693023,0,1,96.51188752,97.65492224,96.33297774,97.62510394,693023
12/24/15,97.9,98.06,97.3,97.59,327175,0,1,97.30704211,97.46607302,96.71067617,96.9989197,327175
12/23/15,97.76,98.21,97.26,98,762498,0,1,97.16789005,97.61516451,96.67091844,97.40643643,762498
12/22/15,96.47,97.27,95.55,97.21,1060174,0,1,95.88570329,96.68085787,94.97127552,96.62122128,1060174
12/21/15,96.02,96.69,94.675,95.68,1322375,0,1,95.43842883,96.1043708,94.10157519,95.10048814,1322375
12/18/15,97.2,97.64,94.8555,95.57,4537727,0,1,96.61128184,97.04861687,94.28098194,94.99115438,4537727
12/17/15,99.31,99.99,97.87,97.87,1597424,0,1,98.70850206,99.38438345,97.27722381,97.27722381,1597424
12/16/15,98.46,99.14,97,99.05,1326328,0,1,97.86365031,98.53953171,96.4124932,98.45007682,1326328
12/15/15,97.47,99.36,96.89,97.98,1747065,0,1,96.87964652,98.75819922,96.30315944,97.38655756,1747065
12/14/15,96.36,96.93,94.925,96.3,2344960,0,1,95.77636953,96.34291717,94.350061,95.71673294,2344960
12/11/15,95.86,96.91,95.85,96.12,2269801,0,1,95.27939792,96.32303831,95.26945849,95.53782316,2269801
12/10/15,98.02,98.545,96.96,96.99,1760282,0,1,97.42631529,97.94813549,96.37273547,96.40255377,1760282
12/9/15,98.11,99.69,97.34,97.72,1571227,0,1,97.51577018,99.08620048,96.7504339,97.12813232,1571227
12/8/15,97.82,99,97.5,98.32,1453541,0,1,97.22752665,98.40037966,96.90946481,97.72449826,1453541
12/7/15,98.72,99.02,98.24,98.83,1721730,0,1,98.12207555,98.42025852,97.6449828,98.23140931,1721730
12/4/15,97.94,98.86,96.73,98.63,2232351,0,1,97.34679983,98.2612276,96.14412853,98.03262066,2232351
12/3/15,99.46,99.91,95.94,96.38,2879563,0,1,98.85759354,99.304868,95.35891338,95.7962484,2879563
12/2/15,101.33,101.8,99.26,99.5,1721766,0,1,100.7162674,101.1834207,98.6588049,98.89735127,1721766
12/1/15,100.94,102.5797,100.61,101.79,2322381,0,1,100.3286295,101.9583982,100.0006283,101.1734813,2322381
11/30/15,100.38,100.76,99.01,100.2,4654994,0,1,99.77202131,100.1497197,98.41031909,99.59311153,4654994
11/27/15,100.09,100.76,99.65,100.18,1109387,0,1,99.48377778,100.1497197,99.04644276,99.57323267,1109387
11/25/15,99.98,100.87,99.43,99.85,1928549,0,1,99.37444402,100.2590535,98.82777525,99.2452314,1928549
11/24/15,100.04,100.75,97.72,99.76,3368472,0,1,99.43408061,100.1397803,97.12813232,99.15577651,3368472
11/23/15,102.52,103.83,100.91,101.03,2915945,0,1,101.8990598,103.2011255,100.2988112,100.4180844,2915945
11/20/15,106.28,108,101.171,103.2,6622251,0,1,105.6362864,107.3458687,100.5582304,102.5749412,6622251
11/19/15,96.93,97.68,95.79,97.42,3985856,0,1,96.34291717,97.08837459,95.20982189,96.82994936,3985856
11/18/15,96.53,96.89,95.62,96.62,3705264,0,1,95.94533988,96.30315944,95.04085154,96.03479477,3705264
11/17/15,96.6,97.46,96.05,96.43,1848493,0,1,96.01491591,96.86970708,95.46824713,95.84594556,1848493
11/16/15,96.89,97.5742,95.98,96.9,1599179,0,1,96.30315944,96.9832154,95.39867111,96.31309888,1599179
11/13/15,98.03,98.69,96.26,96.53,1540077,0,1,97.43625472,98.09225726,95.67697521,95.94533988,1540077
11/12/15,99.17,99.79,98,98.05,849771,0,1,98.56935001,99.18559481,97.40643643,97.45613359,849771
11/11/15,99.42,100.63,98.78,99.39,1314223,0,1,98.81783581,100.0205071,98.18171215,98.78801752,1314223
11/10/15,97.44,98.97,97.025,98.88,944108,0,1,96.84982822,98.37056136,96.43734178,98.28110647,944108
11/9/15,98.18,98.205,96.75,97.51,1120475,0,1,97.58534621,97.61019479,96.16400739,96.91940425,1120475
11/6/15,97.79,98.54,97.13,98.28,961621,0,1,97.19770835,97.94316577,96.54170582,97.68474053,961621
11/5/15,99.21,99.5,97.41,97.78,1349137,0,1,98.60910773,98.89735127,96.82000992,97.18776892,1349137
11/4/15,97.72,99.15,97,98.85,1347620,0,1,97.12813232,98.54947114,96.4124932,98.25128817,1347620
11/3/15,97.16,97.97,97.05,97.71,1455088,0,1,96.57152412,97.37661813,96.46219036,97.11819289,1455088
11/2/15,98.05,98.2,97.37,97.51,1512321,0,1,97.45613359,97.60522507,96.78025219,96.91940425,1512321
10/30/15,97.95,98.12,97.35,97.43,1233520,0,1,97.35673927,97.52570962,96.76037333,96.83988879,1233520
10/29/15,97.9,98.27,97.575,97.745,1431030,0,1,97.30704211,97.6748011,96.98401056,97.1529809,1431030
10/28/15,98.31,98.4,97.29,97.99,1846279,0,1,97.71455883,97.80401372,96.70073674,97.396497,1846279
10/27/15,97.65,98.23,97.15,98.03,1093406,0,1,97.0585563,97.63504337,96.56158468,97.43625472,1093406
10/26/15,98.13,99,97.64,97.71,1440848,0,1,97.53564905,98.40037966,97.04861687,97.11819289,1440848
10/23/15,97.56,98,96.1227,97.94,1240686,0,1,96.96910141,97.40643643,95.5405068,97.34679983,1240686
10/22/15,94.43,97.3,94.36,96.86,1500062,0,1,93.8580591,96.71067617,93.78848307,96.27334115,1500062
10/21/15,94.9,94.98,93.36,93.87,1490074,0,1,94.32521242,94.40472788,92.79453985,93.30145089,1490074
10/20/15,93.89,94.74,93.89,94.3,1014011,0,1,93.32132976,94.1661815,93.32132976,93.72884648,1014011
10/19/15,93.53,94.39,92.49,94.08,1079887,0,1,92.96351019,93.81830137,91.92980924,93.51017897,1079887
10/16/15,92.57,93.79,91.17,93.62,1919910,0,1,92.0093247,93.22193543,90.61780417,93.05296509,1919910
10/15/15,91.05,92.48,90.82,92.43,2138306,0,1,90.49853099,91.9198698,90.26992404,91.87017264,2138306
10/14/15,91.3,92.14,90.41,90.41,1926279,0,1,90.74701679,91.58192911,89.86240732,89.86240732,1926279
10/13/15,92.51,93.2,91.26,91.36,1770574,0,1,91.9496881,92.63550893,90.70725907,90.80665339,1770574
10/12/15,92.71,93.47,91.65,93.21,1554034,0,1,92.14847675,92.9038736,91.09489692,92.64544836,1554034
10/9/15,92.33,93.2589,92.29,92.7,1334169,0,1,91.77077832,92.69405219,91.73102059,92.13853732,1334169
10/8/15,90.71,92.42,90,92.29,1373542,0,1,90.16059029,91.86023321,89.4548906,91.73102059,1373542
