4/2/12,1419.04
4/3/12,1413.38
4/4/12,1398.96
4/5/12,1398.08
4/9/12,1382.2
4/10/12,1358.59
4/11/12,1368.71
4/12/12,1387.57
4/13/12,1370.26
4/16/12,1369.57
4/17/12,1390.78
4/18/12,1385.14
4/19/12,1376.92
4/20/12,1378.53
4/23/12,1366.94
4/24/12,1371.97
4/25/12,1390.69
4/26/12,1399.98
4/27/12,1403.36
4/30/12,1397.91
5/1/12,1405.82
5/2/12,1402.31
5/3/12,1391.57
5/4/12,1369.1
5/7/12,1369.58
5/8/12,1363.72
5/9/12,1354.58
5/10/12,1357.99
5/11/12,1353.39
5/14/12,1338.35
5/15/12,1330.66
5/16/12,1324.8
5/17/12,1304.86
5/18/12,1295.22
5/21/12,1315.99
5/22/12,1316.63
5/23/12,1318.86
5/24/12,1320.68
5/25/12,1317.82
5/29/12,1332.42
5/30/12,1313.32
5/31/12,1310.33
6/1/12,1278.04
6/4/12,1278.18
6/5/12,1285.5
6/6/12,1315.13
6/7/12,1314.99
6/8/12,1325.66
6/11/12,1308.93
6/12/12,1324.18
6/13/12,1314.88
6/14/12,1329.1
6/15/12,1342.84
6/18/12,1344.78
6/19/12,1357.98
6/20/12,1355.69
6/21/12,1325.51
6/22/12,1335.02
6/25/12,1313.72
6/26/12,1319.99
6/27/12,1331.85
6/28/12,1329.04
6/29/12,1362.16
7/2/12,1365.51
7/3/12,1374.02
7/5/12,1367.58
7/6/12,1354.68
7/9/12,1352.46
7/10/12,1341.47
7/11/12,1341.45
7/12/12,1334.76
7/13/12,1356.78
7/16/12,1353.64
7/17/12,1363.67
7/18/12,1372.78
7/19/12,1376.51
7/20/12,1362.66
7/23/12,1350.52
7/24/12,1338.31
7/25/12,1337.89
7/26/12,1360.02
7/27/12,1385.97
7/30/12,1385.3
7/31/12,1379.32
8/1/12,1375.14
8/2/12,1365
8/3/12,1390.99
8/6/12,1394.23
8/7/12,1401.35
8/8/12,1402.22
8/9/12,1402.8
8/10/12,1405.87
8/13/12,1404.11
8/14/12,1403.93
8/15/12,1405.53
8/16/12,1415.51
8/17/12,1418.16
8/20/12,1418.13
8/21/12,1413.17
8/22/12,1413.49
8/23/12,1402.08
8/24/12,1411.13
8/27/12,1410.44
8/28/12,1409.3
8/29/12,1410.49
8/30/12,1399.48
8/31/12,1406.58
9/4/12,1404.94
9/5/12,1403.44
9/6/12,1432.12
9/7/12,1437.92
9/10/12,1429.08
9/11/12,1433.56
9/12/12,1436.56
