3/17/15,557.61
3/16/15,561.64
3/13/15,553
3/12/15,561.17
3/11/15,555.69
3/10/15,559.85
3/9/15,574.1
3/6/15,572.9
3/5/15,581.435
3/4/15,578.33
3/3/15,578.795
3/2/15,575.02
2/27/15,562.63
2/26/15,559.29
2/25/15,547.33
2/24/15,538.65
2/23/15,535
2/20/15,541.8
2/19/15,546.45
2/18/15,542.65
2/17/15,545.01
2/13/15,551.16
2/12/15,546.01
2/11/15,538
2/10/15,540.16
2/9/15,529.28
2/6/15,533.875
2/5/15,529.83
2/4/15,526.1
2/3/15,533.3
2/2/15,532.2
1/30/15,537.55
1/29/15,513.23
1/28/15,512.43
1/27/15,521.19
1/26/15,536.72
1/23/15,541.95
1/22/15,537.3
1/21/15,520.39
1/20/15,509.94
1/16/15,510.455
1/15/15,504.01
1/14/15,505.93
1/13/15,501.8
1/12/15,497.06
1/9/15,500.72
1/8/15,506.91
1/7/15,505.15
1/6/15,506.64
1/5/15,519.46
1/2/15,529.55
12/31/14,530.66
12/30/14,535.28
12/29/14,537.31
12/26/14,541.52
12/24/14,536.93
12/23/14,538.77
12/22/14,532.3
12/19/14,520.04
12/18/14,514.62
12/17/14,506.45
12/16/14,498.16
12/15/14,515.84
12/12/14,521.51
12/11/14,532.11
12/10/14,528.04
12/9/14,536.11
12/8/14,530.73
12/5/14,528.08
12/4/14,542.58
12/3/14,536.97
12/2/14,538.59
12/1/14,539.65
11/28/14,549.08
11/26/14,547.73
11/25/14,549.23
11/24/14,547.48
11/21/14,545.89
11/20/14,543.76
11/19/14,547.2
11/18/14,544.51
11/17/14,546.64
11/14/14,555.19
11/13/14,556.44
11/12/14,558.25
11/11/14,561.29
11/10/14,558.23
11/7/14,551.82
11/6/14,551.69
11/5/14,555.95
11/4/14,564.19
11/3/14,563.77
10/31/14,567.87
10/30/14,560.27
10/29/14,558.45
10/28/14,558.94
10/27/14,549.88
10/24/14,548.9
10/23/14,553.65
10/22/14,542.69
10/21/14,538.03
10/20/14,532.38
10/17/14,522.97
10/16/14,536.92
10/15/14,540.73
10/14/14,548.69
10/13/14,544.75
10/10/14,555.19
10/9/14,570.81
10/8/14,583.74
10/7/14,574.1
10/6/14,587.78
10/3/14,586.25
10/2/14,580.88
10/1/14,579.63
